"status","code","msg","response__c","response__h","response__l","response__ch","response__cp","response__t","response__s","response__cty","response__ccy","response__exch","response__id","response__tm","info__exchanges","info__sectors","info__server_time","info__credit_count","info___t"
"","","","39700.00","40115.50","39011.00","+830.30","2.14%","1611050391","HONE","india","INR","NSE","64006","2021-01-19 09:59:51","","","","",""
"","","","9.30","9.50","9.30","+0.05","0.54%","1611050397","IFCI","india","INR","NSE","64007","2021-01-19 09:59:57","","","","",""
"","","","342.90","357.55","338.65","+8.75","2.62%","1611050399","INDB","india","INR","NSE","64008","2021-01-19 09:59:59","","","","",""
"","","","168.55","173.35","163.10","+7.00","4.33%","1611050399","ICMN","india","INR","NSE","64009","2021-01-19 09:59:59","","","","",""
"","","","115.70","116.25","111.55","+4.75","4.28%","1611050386","IIFL","india","INR","NSE","64010","2021-01-19 09:59:46","","","","",""
"","","","11.10","11.20","11.00","+0.15","1.37%","1611050399","IOBK","india","INR","NSE","64011","2021-01-19 09:59:59","","","","",""
"","","","487.90","494.90","480.00","+8.10","1.69%","1611050399","CYIE","india","INR","NSE","64012","2021-01-19 09:59:59","","","","",""
"","","","322.00","329.00","318.05","+6.65","2.11%","1611050398","INOL","india","INR","NSE","64013","2021-01-19 09:59:58","","","","",""
"","","","44.00","45.85","42.95","+1.25","2.92%","1611050399","JAGP","india","INR","NSE","64014","2021-01-19 09:59:59","","","","",""
"","","","93.45","94.50","92.15","+1.70","1.85%","1611050395","JAIC","india","INR","NSE","64015","2021-01-19 09:59:55","","","","",""
"","","","21.80","21.80","20.95","+1.00","4.81%","1611050398","JAIR","india","INR","NSE","64016","2021-01-19 09:59:58","","","","",""
"","","","29.00","29.30","28.80","+0.50","1.75%","1611050399","JKBK","india","INR","NSE","64017","2021-01-19 09:59:59","","","","",""
"","","","1020.00","1034.15","1015.00","-1.45","-0.14%","1611050397","JBCH","india","INR","NSE","64018","2021-01-19 09:59:57","","","","",""
"","","","87.50","88.90","86.25","+1.55","1.8%","1611050397","JIST","india","INR","NSE","64019","2021-01-19 09:59:57","","","","",""
"","","","90.75","91.95","88.50","+3.05","3.48%","1611050399","JKIN","india","INR","NSE","64020","2021-01-19 09:59:59","","","","",""
"","","","86.40","87.30","84.60","+2.35","2.8%","1611050398","JMSH","india","INR","NSE","64021","2021-01-19 09:59:58","","","","",""
"","","","768.00","775.00","749.20","+23.60","3.17%","1611050399","KAJR","india","INR","NSE","64022","2021-01-19 09:59:59","","","","",""
"","","","323.75","329.00","320.10","+1.60","0.5%","1611050397","KAPT","india","INR","NSE","64023","2021-01-19 09:59:57","","","","",""
